interview_id,application_id,round_number,interview_type,score,result,interviewer_feedback,duration_minutes
INT0000045,APP000031,1,Technical,74.9,On Hold,Strong Technical Skills,45
INT0000046,APP000031,2,Group Discussion,85.9,Fail,Lacks Domain Knowledge,60
INT0000047,APP000031,3,Case Study,89.0,Pass,Average Performance,45
INT0000048,APP000032,1,Case Study,90.9,Pass,Needs Improvement,60
INT0000049,APP000032,2,Group Discussion,57.9,On Hold,Lacks Domain Knowledge,60
INT0000050,APP000032,3,Group Discussion,44.8,Pass,Needs Improvement,90
INT0000051,APP000032,4,Group Discussion,75.6,On Hold,Strong Technical Skills,30
INT0000052,APP000033,1,Coding,30.1,Pass,Average Performance,120
INT0000053,APP000033,2,Aptitude,77.2,Fail,Excellent Problem Solving,60
INT0000054,APP000033,3,Aptitude,70.0,On Hold,Needs Improvement,30
INT0000055,APP000033,4,Group Discussion,56.7,Pass,Excellent Problem Solving,45
INT0000056,APP000034,1,Case Study,56.6,On Hold,Strong Technical Skills,60
INT0000057,APP000034,2,Technical,90.6,On Hold,Needs Improvement,60
INT0000058,APP000034,3,Group Discussion,71.4,On Hold,Lacks Domain Knowledge,90
INT0000059,APP000034,4,HR,95.5,On Hold,Lacks Domain Knowledge,120
INT0000060,APP000036,1,HR,85.5,Pass,Strong Technical Skills,30
INT0000061,APP000037,1,Aptitude,36.2,Fail,Lacks Domain Knowledge,120
INT0000062,APP000037,2,HR,52.6,On Hold,Excellent Problem Solving,60
INT0000063,APP000037,3,Aptitude,60.8,Fail,Average Performance,60
INT0000064,APP000038,1,Case Study,54.7,Fail,Good Communication,60
INT0000065,APP000038,2,HR,97.9,Pass,Average Performance,45
INT0000066,APP000038,3,Technical,67.7,Fail,Strong Technical Skills,30
INT0000067,APP000041,1,Coding,68.3,Fail,Excellent Problem Solving,90
INT0000068,APP000041,2,Case Study,38.4,Fail,Lacks Domain Knowledge,30
INT0000069,APP000041,3,HR,30.7,Fail,Average Performance,45
INT0000070,APP000042,1,Coding,54.1,On Hold,Excellent Problem Solving,45
INT0000071,APP000042,2,Aptitude,65.5,On Hold,Strong Technical Skills,45
INT0000072,APP000045,1,HR,91.4,On Hold,Average Performance,60
INT0000073,APP000045,2,Case Study,40.9,On Hold,Needs Improvement,60
INT0000074,APP000045,3,HR,68.1,Fail,Needs Improvement,90
INT0000075,APP000045,4,Aptitude,94.4,Fail,Good Communication,45
INT0000076,APP000048,1,Technical,41.5,Fail,Good Communication,45
INT0000077,APP000048,2,Coding,92.0,On Hold,Lacks Domain Knowledge,30
INT0000078,APP000048,3,Group Discussion,79.2,Pass,Needs Improvement,120
INT0000079,APP000048,4,Technical,84.7,On Hold,Good Communication,90
INT0000080,APP000049,1,Group Discussion,72.6,Fail,Average Performance,90
INT0000081,APP000049,2,Aptitude,62.7,Pass,Good Communication,60
INT0000082,APP000051,1,Aptitude,38.3,Fail,Needs Improvement,30
INT0000083,APP000052,1,Group Discussion,88.1,Fail,Strong Technical Skills,120
INT0000084,APP000053,1,Group Discussion,40.8,Pass,Excellent Problem Solving,45
INT0000085,APP000053,2,Coding,96.8,On Hold,Excellent Problem Solving,90
INT0000086,APP000054,1,Case Study,31.1,Pass,Strong Technical Skills,45
INT0000087,APP000054,2,HR,46.2,Pass,Good Communication,45
INT0000088,APP000055,1,Case Study,52.6,On Hold,Good Communication,90
INT0000089,APP000055,2,Aptitude,88.7,Pass,Needs Improvement,30
INT0000090,APP000056,1,Case Study,93.3,Pass,Good Communication,120
INT0000091,APP000056,2,Aptitude,73.3,On Hold,Lacks Domain Knowledge,120
INT0000092,APP000056,3,Coding,81.7,Fail,Lacks Domain Knowledge,120
INT0000093,APP000058,1,Technical,84.8,Pass,Needs Improvement,60
INT0000094,APP000059,1,Technical,69.7,Pass,Needs Improvement,60
INT0000095,APP000059,2,Group Discussion,61.6,Fail,Needs Improvement,30
INT0000096,APP000059,3,Case Study,64.8,Fail,Strong Technical Skills,60
INT0000097,APP000060,1,Aptitude,48.4,Pass,Average Performance,120
INT0000098,APP000060,2,HR,48.7,Pass,Excellent Problem Solving,90
INT0000099,APP000060,3,Coding,80.2,Pass,Needs Improvement,90
INT0000100,APP000061,1,Case Study,88.5,On Hold,Good Communication,90
INT0000101,APP000061,2,Aptitude,39.0,On Hold,Good Communication,90
INT0000102,APP000061,3,Aptitude,49.2,On Hold,Lacks Domain Knowledge,120
INT0000103,APP000063,1,Case Study,54.2,On Hold,Good Communication,30
INT0000104,APP000063,2,Technical,81.1,Pass,Lacks Domain Knowledge,90
INT0000105,APP000063,3,Technical,83.3,On Hold,Needs Improvement,90
INT0000106,APP000063,4,Aptitude,56.8,On Hold,Lacks Domain Knowledge,90
INT0000107,APP000064,1,Case Study,49.1,Pass,Needs Improvement,120
INT0000108,APP000064,2,Group Discussion,50.2,On Hold,Good Communication,60
INT0000109,APP000064,3,Group Discussion,39.0,Pass,Average Performance,45
INT0000110,APP000065,1,Group Discussion,70.8,On Hold,Lacks Domain Knowledge,60
INT0000111,APP000065,2,Technical,59.5,Pass,Excellent Problem Solving,90
INT0000112,APP000065,3,Coding,76.5,Fail,Good Communication,60
INT0000113,APP000065,4,Group Discussion,46.6,On Hold,Lacks Domain Knowledge,60
INT0000114,APP000067,1,Technical,50.2,Fail,Good Communication,30
INT0000115,APP000067,2,Coding,94.3,Fail,Needs Improvement,45
INT0000116,APP000067,3,Case Study,97.0,Fail,Excellent Problem Solving,45
INT0000117,APP000067,4,HR,32.4,Fail,Good Communication,60
INT0000118,APP000068,1,Technical,42.9,Pass,Good Communication,45
INT0000119,APP000069,1,Technical,68.5,On Hold,Excellent Problem Solving,120
INT0000120,APP000069,2,Aptitude,50.2,Fail,Needs Improvement,45
INT0000121,APP000070,1,Coding,78.5,Pass,Needs Improvement,30
INT0000122,APP000071,1,Group Discussion,59.2,Pass,Average Performance,45
INT0000123,APP000071,2,Case Study,41.0,Fail,Strong Technical Skills,120
INT0000124,APP000071,3,Technical,89.8,On Hold,Needs Improvement,60
INT0000125,APP000071,4,Coding,72.5,Pass,Strong Technical Skills,90
INT0000126,APP000072,1,Aptitude,90.1,Pass,Strong Technical Skills,120
INT0000127,APP000072,2,HR,37.3,Fail,Strong Technical Skills,90
INT0000128,APP000073,1,Coding,86.3,On Hold,Strong Technical Skills,120
INT0000129,APP000074,1,Aptitude,37.4,On Hold,Average Performance,120
INT0000130,APP000074,2,Aptitude,90.4,Pass,Needs Improvement,90
INT0000131,APP000074,3,Group Discussion,56.9,Pass,Lacks Domain Knowledge,30
INT0000132,APP000075,1,Case Study,44.9,Pass,Lacks Domain Knowledge,60
INT0000133,APP000076,1,Coding,83.3,On Hold,Strong Technical Skills,30
INT0000134,APP000076,2,Case Study,68.2,On Hold,Good Communication,45
INT0000135,APP000076,3,Technical,94.0,On Hold,Good Communication,60
INT0000136,APP000076,4,Group Discussion,64.7,Pass,Excellent Problem Solving,90
INT0000137,APP000078,1,Coding,66.5,Pass,Needs Improvement,30
INT0000138,APP000078,2,HR,31.4,Pass,Needs Improvement,60
INT0000139,APP000078,3,Case Study,80.4,Fail,Excellent Problem Solving,90
INT0000140,APP000078,4,Technical,52.0,Pass,Needs Improvement,120
INT0000141,APP000079,1,Coding,85.7,On Hold,Excellent Problem Solving,30
INT0000142,APP000080,1,Coding,56.5,On Hold,Average Performance,45
INT0000143,APP000081,1,Technical,79.2,On Hold,Average Performance,45
INT0000144,APP000081,2,Technical,65.6,On Hold,Excellent Problem Solving,120
INT0000145,APP000083,1,Technical,82.5,On Hold,Needs Improvement,120
INT0000146,APP000083,2,HR,70.9,Pass,Average Performance,60
INT0000147,APP000083,3,Aptitude,97.5,On Hold,Needs Improvement,120
INT0000148,APP000084,1,HR,44.9,Fail,Lacks Domain Knowledge,60
INT0000149,APP000085,1,Case Study,80.9,Fail,Good Communication,30
INT0000150,APP000086,1,Group Discussion,44.0,Pass,Strong Technical Skills,45
INT0000151,APP000086,2,Group Discussion,50.1,Fail,Average Performance,90
INT0000152,APP000086,3,Technical,38.7,On Hold,Strong Technical Skills,120
INT0000153,APP000086,4,Technical,69.1,Fail,Good Communication,120
INT0000154,APP000087,1,Aptitude,75.4,Pass,Good Communication,90
INT0000155,APP000087,2,Aptitude,53.0,Fail,Good Communication,45
INT0000156,APP000087,3,HR,44.5,Pass,Excellent Problem Solving,120
INT0000157,APP000088,1,Technical,40.1,Pass,Excellent Problem Solving,30
INT0000158,APP000089,1,HR,42.8,Pass,Good Communication,30
INT0000159,APP000089,2,Coding,98.0,On Hold,Average Performance,120
INT0000160,APP000089,3,Coding,42.0,On Hold,Good Communication,30
INT0000161,APP000089,4,Aptitude,55.4,Fail,Lacks Domain Knowledge,90
INT0000162,APP000090,1,Aptitude,95.2,On Hold,Average Performance,45
INT0000163,APP000090,2,HR,64.5,On Hold,Average Performance,120
INT0000164,APP000091,1,Technical,62.9,Pass,Lacks Domain Knowledge,45
INT0000165,APP000091,2,Technical,77.4,Pass,Good Communication,120
INT0000166,APP000091,3,Coding,97.0,On Hold,Average Performance,60
INT0000167,APP000091,4,Technical,83.4,On Hold,Good Communication,120
INT0000168,APP000092,1,Aptitude,48.4,Pass,Strong Technical Skills,45
INT0000169,APP000092,2,HR,65.0,On Hold,Strong Technical Skills,120
INT0000170,APP000093,1,HR,38.6,On Hold,Lacks Domain Knowledge,60
INT0000171,APP000093,2,Technical,71.7,Fail,Lacks Domain Knowledge,30
INT0000172,APP000093,3,Group Discussion,32.1,Pass,Good Communication,30
INT0000173,APP000093,4,Case Study,86.7,Pass,Excellent Problem Solving,30
INT0000174,APP000094,1,Coding,33.8,On Hold,Strong Technical Skills,30
INT0000175,APP000094,2,Technical,93.0,Fail,Good Communication,30
INT0000176,APP000094,3,Group Discussion,51.5,Fail,Strong Technical Skills,120
INT0000177,APP000096,1,Aptitude,66.4,On Hold,Needs Improvement,60
INT0000178,APP000096,2,Coding,91.5,On Hold,Good Communication,120
INT0000179,APP000096,3,HR,55.3,Fail,Needs Improvement,45
INT0000180,APP000096,4,Group Discussion,81.1,On Hold,Good Communication,60
INT0000181,APP000097,1,Technical,57.1,Pass,Strong Technical Skills,30
INT0000182,APP000097,2,Case Study,78.3,Pass,Excellent Problem Solving,90
INT0000183,APP000097,3,Group Discussion,73.8,On Hold,Excellent Problem Solving,120
INT0000184,APP000097,4,Case Study,50.4,On Hold,Lacks Domain Knowledge,30
INT0000185,APP000099,1,Coding,63.2,On Hold,Average Performance,60
INT0000186,APP000099,2,Technical,80.5,Fail,Lacks Domain Knowledge,60
INT0000187,APP000099,3,Coding,84.9,Fail,Average Performance,60
INT0000188,APP000099,4,Coding,32.4,Fail,Strong Technical Skills,90
INT0000189,APP000100,1,Coding,65.6,Fail,Excellent Problem Solving,90
INT0000190,APP000100,2,HR,66.1,Pass,Good Communication,45
INT0000191,APP000100,3,Group Discussion,99.6,On Hold,Excellent Problem Solving,120
INT0000192,APP000107,1,Coding,67.3,On Hold,Good Communication,30
INT0000193,APP000107,2,Aptitude,33.3,On Hold,Excellent Problem Solving,60
INT0000194,APP000107,3,Case Study,38.8,Pass,Average Performance,120
INT0000195,APP000107,4,HR,98.0,Pass,Lacks Domain Knowledge,45
INT0000196,APP000108,1,Technical,57.9,Pass,Strong Technical Skills,45
INT0000197,APP000108,2,Group Discussion,89.4,On Hold,Good Communication,60
INT0000198,APP000108,3,Group Discussion,78.0,Pass,Strong Technical Skills,60
INT0000199,APP000110,1,Aptitude,66.7,Pass,Excellent Problem Solving,60
INT0000200,APP000111,1,Case Study,52.7,On Hold,Average Performance,30
INT0000201,APP000111,2,Coding,58.2,On Hold,Lacks Domain Knowledge,60
INT0000202,APP000112,1,HR,56.3,Pass,Average Performance,90
INT0000203,APP000113,1,Aptitude,75.3,Pass,Average Performance,60
INT0000204,APP000113,2,Case Study,42.5,Fail,Lacks Domain Knowledge,30
INT0000205,APP000113,3,Aptitude,48.9,Fail,Good Communication,90
INT0000206,APP000114,1,Coding,99.0,On Hold,Strong Technical Skills,60
INT0000207,APP000114,2,Technical,72.5,Pass,Excellent Problem Solving,60
INT0000208,APP000115,1,HR,77.2,Pass,Good Communication,120
INT0000209,APP000115,2,Case Study,35.7,Pass,Average Performance,45
INT0000210,APP000115,3,Technical,91.5,Fail,Average Performance,60
INT0000211,APP000117,1,Group Discussion,75.7,Fail,Needs Improvement,45
INT0000212,APP000117,2,Aptitude,57.4,Fail,Needs Improvement,60
INT0000213,APP000118,1,Coding,87.8,Pass,Good Communication,120
INT0000214,APP000120,1,Case Study,43.3,On Hold,Lacks Domain Knowledge,90
INT0000215,APP000120,2,Coding,77.9,Pass,Excellent Problem Solving,45
INT0000216,APP000120,3,Group Discussion,44.5,Fail,Average Performance,90
INT0000217,APP000120,4,Group Discussion,43.5,On Hold,Good Communication,90
INT0000218,APP000121,1,Group Discussion,87.3,On Hold,Strong Technical Skills,120
INT0000219,APP000121,2,Technical,91.3,Pass,Lacks Domain Knowledge,30
INT0000220,APP000121,3,Technical,53.4,Fail,Excellent Problem Solving,30
INT0000221,APP000121,4,Case Study,35.2,On Hold,Strong Technical Skills,90
INT0000222,APP000122,1,HR,85.9,Fail,Needs Improvement,60
INT0000223,APP000122,2,Group Discussion,50.6,Fail,Lacks Domain Knowledge,45
INT0000224,APP000122,3,Technical,46.3,Pass,Lacks Domain Knowledge,45
INT0000225,APP000123,1,Technical,71.0,On Hold,Average Performance,120
INT0000226,APP000123,2,HR,40.6,On Hold,Good Communication,120
INT0000227,APP000124,1,Group Discussion,46.8,Fail,Lacks Domain Knowledge,60
INT0000228,APP000124,2,Group Discussion,43.5,On Hold,Good Communication,30
INT0000229,APP000126,1,Technical,92.2,Fail,Strong Technical Skills,45
INT0000230,APP000126,2,Technical,51.0,On Hold,Excellent Problem Solving,45
INT0000231,APP000127,1,Aptitude,89.7,Fail,Lacks Domain Knowledge,30
INT0000232,APP000128,1,Coding,74.5,Pass,Lacks Domain Knowledge,45
INT0000233,APP000129,1,Aptitude,88.2,On Hold,Lacks Domain Knowledge,90
INT0000234,APP000130,1,Technical,79.9,Pass,Lacks Domain Knowledge,90
INT0000235,APP000130,2,HR,67.8,Pass,Good Communication,120
INT0000236,APP000130,3,Aptitude,66.4,Pass,Excellent Problem Solving,120
INT0000237,APP000130,4,Case Study,67.3,On Hold,Needs Improvement,90
INT0000238,APP000132,1,HR,70.2,On Hold,Lacks Domain Knowledge,90
INT0000239,APP000132,2,Group Discussion,35.2,On Hold,Strong Technical Skills,120
INT0000240,APP000133,1,Aptitude,38.6,Pass,Lacks Domain Knowledge,90
INT0000241,APP000133,2,Case Study,79.3,Fail,Excellent Problem Solving,45
INT0000242,APP000136,1,Coding,50.5,On Hold,Needs Improvement,90
INT0000243,APP000136,2,Case Study,32.7,Pass,Excellent Problem Solving,120
INT0000244,APP000136,3,Case Study,82.2,On Hold,Strong Technical Skills,45
INT0000245,APP000136,4,Group Discussion,38.5,Fail,Average Performance,90
INT0000246,APP000137,1,HR,60.2,On Hold,Lacks Domain Knowledge,45
INT0000247,APP000137,2,Case Study,41.3,On Hold,Average Performance,120
INT0000248,APP000137,3,Coding,70.9,Fail,Strong Technical Skills,45
INT0000249,APP000137,4,HR,87.9,Fail,Average Performance,90
INT0000250,APP000138,1,Aptitude,80.8,Fail,Excellent Problem Solving,30
INT0000251,APP000139,1,Case Study,51.6,Pass,Strong Technical Skills,90
INT0000252,APP000139,2,Group Discussion,100.0,Pass,Good Communication,30
INT0000253,APP000139,3,Coding,77.6,Pass,Strong Technical Skills,30
INT0000254,APP000139,4,Case Study,38.8,Pass,Strong Technical Skills,30
INT0000255,APP000140,1,Coding,80.7,On Hold,Excellent Problem Solving,90
INT0000256,APP000140,2,Coding,92.3,On Hold,Needs Improvement,45
INT0000257,APP000141,1,HR,47.2,Pass,Strong Technical Skills,120
INT0000258,APP000141,2,Coding,59.5,Fail,Lacks Domain Knowledge,90
INT0000259,APP000141,3,Coding,63.5,Pass,Average Performance,90
INT0000260,APP000145,1,Technical,61.4,Fail,Excellent Problem Solving,120
INT0000261,APP000145,2,Case Study,65.1,Pass,Lacks Domain Knowledge,30
INT0000262,APP000146,1,Group Discussion,35.3,On Hold,Average Performance,120
INT0000263,APP000148,1,Coding,95.0,Pass,Average Performance,120
INT0000264,APP000148,2,HR,69.4,On Hold,Average Performance,120
INT0000265,APP000148,3,Group Discussion,43.2,On Hold,Average Performance,120
INT0000266,APP000149,1,HR,40.0,On Hold,Excellent Problem Solving,60
INT0000267,APP000149,2,Aptitude,99.4,Fail,Needs Improvement,120
INT0000268,APP000149,3,Coding,97.3,On Hold,Excellent Problem Solving,120
INT0000269,APP000150,1,Case Study,49.3,Fail,Average Performance,90
INT0000270,APP000152,1,Coding,84.1,On Hold,Excellent Problem Solving,120
INT0000271,APP000152,2,Aptitude,35.5,On Hold,Average Performance,120
INT0000272,APP000152,3,Coding,47.4,On Hold,Lacks Domain Knowledge,90
INT0000273,APP000152,4,Coding,58.8,Fail,Strong Technical Skills,120
INT0000274,APP000153,1,Aptitude,67.0,Fail,Lacks Domain Knowledge,30
INT0000275,APP000154,1,Case Study,63.5,Pass,Excellent Problem Solving,90
INT0000276,APP000154,2,Aptitude,59.1,Pass,Strong Technical Skills,30
INT0000277,APP000155,1,Technical,64.2,Pass,Average Performance,30
INT0000278,APP000157,1,Aptitude,51.0,Pass,Needs Improvement,60
INT0000279,APP000157,2,HR,84.4,On Hold,Excellent Problem Solving,120
INT0000280,APP000157,3,Technical,42.4,Pass,Excellent Problem Solving,90
INT0000281,APP000159,1,Aptitude,89.8,Fail,Average Performance,30
INT0000282,APP000160,1,HR,52.5,Pass,Average Performance,60
INT0000283,APP000162,1,Group Discussion,56.7,Fail,Average Performance,45
INT0000284,APP000162,2,Group Discussion,97.9,Pass,Needs Improvement,30
INT0000285,APP000164,1,Case Study,88.1,Fail,Strong Technical Skills,60
INT0000286,APP000164,2,HR,82.5,Pass,Good Communication,120
INT0000287,APP000165,1,Case Study,85.0,Fail,Good Communication,30
INT0000288,APP000165,2,HR,78.5,On Hold,Lacks Domain Knowledge,90
INT0000289,APP000165,3,Technical,99.4,Fail,Average Performance,60
INT0000290,APP000167,1,Aptitude,82.8,On Hold,Lacks Domain Knowledge,120
INT0000291,APP000168,1,Technical,62.4,On Hold,Good Communication,60
INT0000292,APP000168,2,Coding,31.2,Fail,Good Communication,90
INT0000293,APP000168,3,HR,97.1,On Hold,Good Communication,90
INT0000294,APP000169,1,Coding,64.2,Pass,Excellent Problem Solving,45
INT0000295,APP000169,2,Technical,30.4,Pass,Good Communication,45
INT0000296,APP000169,3,Group Discussion,90.4,Pass,Excellent Problem Solving,60
INT0000297,APP000171,1,Coding,66.1,Pass,Strong Technical Skills,45
INT0000298,APP000171,2,Case Study,39.2,On Hold,Average Performance,45
INT0000299,APP000172,1,HR,99.8,On Hold,Strong Technical Skills,90
INT0000300,APP000172,2,Aptitude,33.2,Pass,Good Communication,45
INT0000301,APP000174,1,Technical,81.7,On Hold,Good Communication,60
INT0000302,APP000175,1,Group Discussion,50.5,Pass,Strong Technical Skills,60
INT0000303,APP000175,2,Group Discussion,54.3,On Hold,Excellent Problem Solving,90
INT0000304,APP000175,3,HR,72.8,Pass,Excellent Problem Solving,90
INT0000305,APP000176,1,Case Study,74.6,Fail,Strong Technical Skills,30
INT0000306,APP000177,1,Case Study,93.7,Pass,Excellent Problem Solving,30
INT0000307,APP000177,2,Coding,61.2,Pass,Good Communication,120
INT0000308,APP000178,1,HR,96.0,Pass,Good Communication,90
INT0000309,APP000178,2,HR,76.3,On Hold,Good Communication,120
INT0000310,APP000178,3,Case Study,60.1,On Hold,Needs Improvement,60
INT0000311,APP000178,4,Aptitude,40.7,Fail,Lacks Domain Knowledge,60
INT0000312,APP000179,1,Aptitude,66.8,Fail,Lacks Domain Knowledge,90
INT0000313,APP000179,2,Coding,60.8,Fail,Average Performance,30
INT0000314,APP000180,1,Group Discussion,61.1,Fail,Needs Improvement,90
INT0000315,APP000180,2,Case Study,57.2,On Hold,Needs Improvement,45
INT0000316,APP000180,3,HR,55.1,On Hold,Good Communication,30
INT0000317,APP000180,4,Aptitude,78.9,Fail,Strong Technical Skills,90
INT0000318,APP000181,1,HR,32.0,Pass,Excellent Problem Solving,45
INT0000319,APP000182,1,Technical,51.8,On Hold,Excellent Problem Solving,30
INT0000320,APP000182,2,Aptitude,97.9,Pass,Good Communication,30
INT0000321,APP000182,3,Group Discussion,65.8,On Hold,Lacks Domain Knowledge,30
INT0000322,APP000183,1,Case Study,35.6,On Hold,Lacks Domain Knowledge,90
INT0000323,APP000184,1,Group Discussion,38.0,On Hold,Average Performance,60
INT0000324,APP000184,2,Coding,39.6,On Hold,Good Communication,45
INT0000325,APP000184,3,Technical,39.5,Pass,Average Performance,45
INT0000326,APP000184,4,Group Discussion,34.2,On Hold,Needs Improvement,45
INT0000327,APP000185,1,HR,54.7,On Hold,Lacks Domain Knowledge,90
INT0000328,APP000185,2,Coding,94.1,Fail,Lacks Domain Knowledge,90
INT0000329,APP000185,3,Case Study,45.2,Pass,Excellent Problem Solving,60
INT0000330,APP000186,1,Case Study,64.6,On Hold,Lacks Domain Knowledge,30
INT0000331,APP000188,1,Technical,47.8,On Hold,Good Communication,90
INT0000332,APP000189,1,Case Study,66.9,Fail,Strong Technical Skills,60
INT0000333,APP000189,2,Coding,64.2,On Hold,Good Communication,90
INT0000334,APP000191,1,Case Study,37.0,Pass,Needs Improvement,90
INT0000335,APP000191,2,Aptitude,80.3,On Hold,Strong Technical Skills,90
INT0000336,APP000191,3,Coding,75.2,Pass,Needs Improvement,45
INT0000337,APP000191,4,Aptitude,67.5,Pass,Lacks Domain Knowledge,30
INT0000338,APP000192,1,Case Study,53.6,Fail,Good Communication,30
INT0000339,APP000192,2,Coding,84.2,On Hold,Good Communication,45
INT0000340,APP000192,3,HR,68.6,On Hold,Good Communication,30
INT0000341,APP000192,4,Coding,47.9,Pass,Good Communication,90
INT0000342,APP000193,1,Group Discussion,89.3,Pass,Needs Improvement,60
INT0000343,APP000194,1,Group Discussion,43.9,On Hold,Average Performance,45
INT0000344,APP000194,2,HR,74.2,Pass,Excellent Problem Solving,90
INT0000345,APP000194,3,Technical,32.0,Pass,Needs Improvement,45
INT0000346,APP000194,4,Group Discussion,39.8,On Hold,Excellent Problem Solving,45
INT0000347,APP000195,1,Aptitude,91.0,On Hold,Lacks Domain Knowledge,60
INT0000348,APP000195,2,Group Discussion,88.8,Pass,Strong Technical Skills,30
INT0000349,APP000195,3,HR,87.9,Pass,Strong Technical Skills,90
INT0000350,APP000195,4,HR,98.7,On Hold,Lacks Domain Knowledge,120
INT0000351,APP000196,1,HR,61.9,Fail,Average Performance,45
INT0000352,APP000196,2,Technical,70.6,Pass,Lacks Domain Knowledge,30
INT0000353,APP000196,3,Technical,87.1,Pass,Good Communication,30
INT0000354,APP000197,1,HR,54.9,Fail,Needs Improvement,90
INT0000355,APP000197,2,Aptitude,55.0,Fail,Excellent Problem Solving,120
INT0000356,APP000197,3,Technical,67.7,Fail,Needs Improvement,120
INT0000357,APP000197,4,Case Study,59.4,Fail,Needs Improvement,60
INT0000358,APP000198,1,Group Discussion,72.8,Pass,Lacks Domain Knowledge,120
INT0000359,APP000198,2,Aptitude,49.3,On Hold,Needs Improvement,60
INT0000360,APP000199,1,Coding,58.5,Pass,Strong Technical Skills,45
INT0000361,APP000200,1,HR,39.5,On Hold,Strong Technical Skills,45
INT0000362,APP000200,2,Aptitude,94.6,Fail,Average Performance,45
INT0000363,APP000200,3,Aptitude,63.6,On Hold,Average Performance,90
INT0000364,APP000203,1,Group Discussion,59.8,Fail,Needs Improvement,30
INT0000365,APP000203,2,Coding,75.3,On Hold,Average Performance,45
INT0000366,APP000204,1,Technical,99.9,Fail,Excellent Problem Solving,45
INT0000367,APP000205,1,Aptitude,58.0,On Hold,Average Performance,90
INT0000368,APP000205,2,HR,70.5,On Hold,Strong Technical Skills,30
INT0000369,APP000205,3,Group Discussion,45.4,Fail,Strong Technical Skills,30
INT0000370,APP000208,1,HR,85.4,Fail,Needs Improvement,60
INT0000371,APP000208,2,HR,49.6,Pass,Needs Improvement,45
INT0000372,APP000208,3,Coding,75.0,On Hold,Strong Technical Skills,30
INT0000373,APP000210,1,Aptitude,47.9,On Hold,Needs Improvement,60
INT0000374,APP000210,2,Technical,32.8,On Hold,Strong Technical Skills,120
