application_id,student_id,company_id,application_date,status,round_cleared,interview_score,package_offered_lpa,offer_date,joining_date
APP000035,STU00014,CMP0105,2025-04-14,Shortlisted,2,,,,
APP000036,STU00015,CMP0082,2025-04-06,Interviewed,4,66.3,,,
APP000037,STU00015,CMP0107,2024-08-02,Selected,2,94.0,14.1,2024-10-27,
APP000038,STU00016,CMP0021,2025-02-11,Interviewed,4,93.8,,,
APP000039,STU00017,CMP0092,2024-08-11,Shortlisted,2,,,,
APP000040,STU00018,CMP0078,2025-02-27,Shortlisted,4,,,,
APP000041,STU00019,CMP0146,2025-05-20,Interviewed,0,43.1,,,
APP000042,STU00019,CMP0115,2024-10-29,Interviewed,4,88.3,,,
APP000043,STU00019,CMP0106,2024-08-07,Shortlisted,2,,,,
APP000044,STU00019,CMP0133,2024-12-03,Shortlisted,3,,,,
APP000045,STU00020,CMP0109,2025-05-17,Interview Scheduled,3,,,,
APP000046,STU00020,CMP0070,2025-05-10,Applied,0,,,,
APP000047,STU00020,CMP0011,2024-09-18,Shortlisted,0,,,,
APP000048,STU00021,CMP0026,2025-04-06,Interviewed,3,43.3,,,
APP000049,STU00021,CMP0019,2024-08-07,Selected,3,70.5,25.7,2024-09-07,
APP000050,STU00022,CMP0065,2024-12-27,Applied,0,,,,
APP000051,STU00022,CMP0089,2024-10-17,Offer Accepted,0,47.2,10.3,2024-11-18,2025-02-03
APP000052,STU00022,CMP0097,2024-10-05,Rejected,0,,,,
APP000053,STU00023,CMP0064,2024-12-17,Selected,0,54.8,19.7,2025-01-30,
APP000054,STU00024,CMP0144,2025-05-10,Selected,0,47.8,7.1,2025-07-03,
APP000055,STU00024,CMP0067,2025-01-08,Offer Accepted,3,53.9,16.7,2025-02-12,2025-05-19
APP000056,STU00024,CMP0065,2024-12-26,Selected,4,62.8,27.9,2025-02-21,
APP000057,STU00024,CMP0125,2025-03-11,Shortlisted,3,,,,
APP000058,STU00024,CMP0042,2024-09-16,Interview Scheduled,1,,,,
APP000059,STU00025,CMP0075,2025-05-15,Selected,1,55.7,15.1,2025-07-21,
APP000060,STU00025,CMP0104,2024-09-24,Interviewed,2,90.2,,,
APP000061,STU00026,CMP0011,2024-11-27,Rejected,0,,,,
APP000062,STU00026,CMP0007,2025-05-27,Shortlisted,3,,,,
APP000063,STU00026,CMP0081,2025-02-24,Selected,0,66.0,37.4,2025-05-12,
APP000064,STU00027,CMP0019,2024-10-30,Selected,3,73.2,12.0,2025-01-13,
APP000065,STU00027,CMP0113,2024-11-28,Rejected,0,,,,
APP000066,STU00027,CMP0134,2025-01-18,Shortlisted,4,,,,
APP000067,STU00027,CMP0040,2025-02-09,Rejected,0,,,,
APP000068,STU00027,CMP0024,2024-11-26,Rejected,0,,,,
APP000069,STU00027,CMP0011,2025-01-10,Rejected,0,,,,
APP000070,STU00028,CMP0110,2024-09-09,Rejected,0,,,,
APP000071,STU00029,CMP0099,2024-11-19,Selected,4,49.0,31.3,2024-12-29,
APP000072,STU00029,CMP0089,2024-11-09,Interviewed,3,85.8,,,
APP000073,STU00029,CMP0024,2024-11-26,Selected,2,83.2,25.8,2025-02-03,
APP000074,STU00029,CMP0081,2024-08-25,Interviewed,2,49.0,,,
APP000075,STU00031,CMP0140,2024-09-09,Selected,1,88.1,21.5,2024-10-14,
APP000076,STU00031,CMP0037,2025-02-22,Interviewed,4,57.1,,,
APP000077,STU00031,CMP0082,2024-12-31,Applied,0,,,,
APP000078,STU00031,CMP0038,2025-03-27,Rejected,0,,,,
APP000079,STU00031,CMP0098,2025-04-28,Rejected,0,,,,
APP000080,STU00031,CMP0120,2024-10-10,Selected,4,76.7,26.5,2024-12-13,
APP000081,STU00033,CMP0101,2025-04-23,Interview Scheduled,0,,,,
APP000082,STU00033,CMP0108,2025-03-07,Offer Declined,0,95.1,,,
APP000083,STU00033,CMP0026,2024-08-14,Interviewed,0,98.8,,,
APP000084,STU00033,CMP0093,2024-09-05,Interviewed,1,51.1,,,
APP000085,STU00034,CMP0052,2025-02-18,Interviewed,4,46.3,,,
APP000086,STU00035,CMP0115,2025-01-30,Selected,3,72.6,9.5,2025-03-07,
APP000087,STU00035,CMP0047,2024-10-06,Rejected,0,,,,
APP000088,STU00035,CMP0085,2025-04-29,Selected,2,52.5,14.9,2025-06-14,
APP000089,STU00036,CMP0067,2025-02-19,Interview Scheduled,3,,,,
APP000090,STU00036,CMP0063,2025-02-21,Offer Accepted,1,93.8,15.1,2025-05-13,2025-06-04
APP000091,STU00036,CMP0010,2024-09-16,Interviewed,0,96.5,,,
APP000092,STU00036,CMP0025,2024-11-23,Interview Scheduled,0,,,,
APP000093,STU00036,CMP0148,2024-12-28,Selected,2,53.3,4.2,2025-01-29,
APP000094,STU00037,CMP0012,2025-02-07,Interview Scheduled,2,,,,
APP000095,STU00038,CMP0124,2024-11-21,Shortlisted,2,,,,
APP000096,STU00038,CMP0112,2024-09-04,Selected,4,98.2,39.2,2024-11-25,
APP000097,STU00038,CMP0023,2024-09-22,Selected,3,49.0,14.1,2024-12-13,
APP000098,STU00038,CMP0120,2025-03-20,Shortlisted,0,,,,
APP000099,STU00039,CMP0039,2024-09-13,Rejected,0,,,,
APP000100,STU00039,CMP0126,2025-05-04,Selected,3,72.3,10.4,2025-06-18,
APP000101,STU00039,CMP0044,2024-08-29,Shortlisted,3,,,,
APP000102,STU00040,CMP0116,2025-01-30,Shortlisted,2,,,,
APP000103,STU00040,CMP0102,2024-10-11,Shortlisted,0,,,,
APP000104,STU00041,CMP0040,2025-04-08,Shortlisted,3,,,,
APP000105,STU00041,CMP0034,2024-08-15,Offer Declined,0,45.2,,,
APP000106,STU00041,CMP0114,2024-08-24,Shortlisted,4,,,,
APP000107,STU00041,CMP0112,2025-01-23,Interview Scheduled,0,,,,
APP000108,STU00042,CMP0070,2025-05-09,Rejected,0,,,,
APP000109,STU00042,CMP0140,2024-09-28,Shortlisted,0,,,,
APP000110,STU00042,CMP0141,2025-05-20,Selected,3,73.0,16.4,2025-06-21,
APP000111,STU00043,CMP0083,2024-08-11,Rejected,0,,,,
APP000112,STU00043,CMP0102,2025-02-14,Rejected,0,,,,
APP000113,STU00045,CMP0079,2024-08-06,Offer Accepted,0,70.6,25.6,2024-11-04,2024-11-05
APP000114,STU00045,CMP0054,2024-09-05,Rejected,0,,,,
APP000115,STU00046,CMP0046,2024-08-02,Offer Accepted,3,82.2,36.5,2024-09-27,2024-11-21
APP000116,STU00046,CMP0128,2025-05-02,Shortlisted,1,,,,
APP000117,STU00047,CMP0042,2025-01-11,Selected,1,45.6,10.2,2025-03-17,
APP000118,STU00047,CMP0085,2024-12-14,Interview Scheduled,1,,,,
APP000119,STU00047,CMP0004,2025-05-20,Offer Declined,2,45.6,,,
APP000120,STU00047,CMP0089,2024-12-20,Interview Scheduled,3,,,,
APP000121,STU00047,CMP0063,2024-10-20,Rejected,0,,,,
APP000122,STU00048,CMP0012,2025-05-27,Selected,3,51.2,10.1,2025-07-01,
APP000123,STU00048,CMP0069,2024-10-23,Rejected,0,,,,
APP000124,STU00048,CMP0048,2024-09-15,Rejected,0,,,,
APP000125,STU00048,CMP0079,2025-04-18,Shortlisted,0,,,,
APP000126,STU00048,CMP0087,2024-10-21,Selected,4,53.3,34.9,2024-11-22,
APP000127,STU00048,CMP0128,2024-11-18,Interviewed,4,94.9,,,
APP000128,STU00049,CMP0118,2024-09-13,Offer Accepted,3,60.1,39.0,2024-12-12,2025-01-21
APP000129,STU00049,CMP0045,2025-03-07,Rejected,0,,,,
APP000130,STU00049,CMP0012,2025-03-22,Selected,1,84.4,19.2,2025-04-25,
APP000131,STU00049,CMP0060,2024-10-10,Applied,0,,,,
APP000132,STU00050,CMP0120,2025-04-08,Selected,1,49.1,18.5,2025-05-31,
APP000133,STU00050,CMP0143,2024-08-19,Selected,2,41.0,8.0,2024-09-23,
APP000134,STU00050,CMP0125,2024-10-10,Shortlisted,2,,,,
APP000135,STU00050,CMP0107,2025-02-06,Applied,0,,,,
APP000136,STU00051,CMP0056,2025-01-16,Rejected,0,,,,
APP000137,STU00051,CMP0102,2025-03-23,Rejected,0,,,,
APP000138,STU00051,CMP0134,2024-10-15,Rejected,0,,,,
APP000139,STU00052,CMP0091,2024-10-15,Selected,3,93.0,36.8,2024-12-11,
APP000140,STU00052,CMP0095,2024-11-29,Selected,2,99.5,10.0,2025-02-15,
APP000141,STU00053,CMP0042,2025-03-17,Selected,1,89.7,37.4,2025-04-16,
APP000142,STU00054,CMP0127,2024-10-04,Shortlisted,0,,,,
APP000143,STU00055,CMP0141,2024-08-13,Applied,0,,,,
APP000144,STU00055,CMP0074,2025-01-29,Applied,0,,,,
APP000145,STU00056,CMP0074,2024-11-03,Interviewed,1,70.0,,,
APP000146,STU00056,CMP0071,2024-10-08,Rejected,0,,,,
APP000147,STU00057,CMP0127,2024-12-03,Shortlisted,1,,,,
APP000148,STU00057,CMP0040,2025-03-18,Interview Scheduled,1,,,,
APP000149,STU00057,CMP0124,2024-12-14,Selected,4,87.6,12.7,2025-01-28,
APP000150,STU00058,CMP0126,2025-05-20,Selected,4,58.4,23.6,2025-07-24,
APP000151,STU00058,CMP0099,2025-04-12,Shortlisted,2,,,,
APP000152,STU00058,CMP0038,2025-02-03,Selected,2,75.7,21.2,2025-04-23,
APP000153,STU00058,CMP0142,2025-05-23,Rejected,0,,,,
APP000154,STU00058,CMP0039,2024-09-24,Interview Scheduled,1,,,,
APP000155,STU00058,CMP0087,2024-08-02,Offer Accepted,4,88.0,28.2,2024-10-23,2024-12-26
APP000156,STU00059,CMP0109,2025-01-19,Shortlisted,4,,,,
APP000157,STU00060,CMP0101,2025-04-16,Rejected,0,,,,
APP000158,STU00060,CMP0145,2024-12-14,Shortlisted,2,,,,
APP000159,STU00060,CMP0055,2025-02-14,Rejected,0,,,,
APP000160,STU00061,CMP0149,2025-01-18,Selected,3,81.9,3.4,2025-03-31,
APP000161,STU00061,CMP0083,2025-03-07,Applied,0,,,,
APP000162,STU00061,CMP0103,2024-12-22,Selected,2,44.8,36.4,2025-03-08,
APP000163,STU00061,CMP0099,2025-02-25,Shortlisted,0,,,,
APP000164,STU00062,CMP0037,2025-04-04,Rejected,0,,,,
APP000165,STU00062,CMP0118,2025-01-06,Rejected,0,,,,
APP000166,STU00062,CMP0058,2024-12-31,Offer Declined,0,86.1,,,
APP000167,STU00062,CMP0075,2024-12-31,Interview Scheduled,1,,,,
APP000168,STU00062,CMP0134,2024-12-20,Interviewed,4,78.2,,,
APP000169,STU00063,CMP0011,2025-01-27,Interviewed,2,77.1,,,
APP000170,STU00063,CMP0095,2025-04-20,Shortlisted,3,,,,
APP000171,STU00064,CMP0032,2024-10-28,Selected,1,49.4,25.1,2024-12-01,
APP000172,STU00064,CMP0088,2025-02-07,Rejected,0,,,,
APP000173,STU00065,CMP0144,2025-02-11,Shortlisted,2,,,,
APP000174,STU00065,CMP0113,2025-04-25,Interviewed,4,46.8,,,
APP000175,STU00065,CMP0097,2025-04-26,Selected,3,65.3,23.9,2025-07-16,
APP000176,STU00065,CMP0132,2024-12-21,Interviewed,4,85.3,,,
APP000177,STU00067,CMP0130,2025-05-23,Offer Accepted,0,71.5,3.5,2025-08-06,2025-09-09
APP000178,STU00067,CMP0110,2025-04-12,Interviewed,4,48.6,,,
APP000179,STU00068,CMP0004,2025-04-13,Interview Scheduled,2,,,,
APP000180,STU00068,CMP0061,2025-03-19,Offer Accepted,4,57.7,14.9,2025-04-28,2025-08-20
APP000181,STU00069,CMP0095,2024-12-31,Interviewed,4,77.0,,,
APP000182,STU00069,CMP0087,2024-10-11,Rejected,0,,,,
APP000183,STU00069,CMP0020,2025-01-09,Selected,1,42.1,10.6,2025-02-14,
APP000184,STU00069,CMP0081,2024-12-26,Interviewed,1,90.0,,,
APP000185,STU00070,CMP0127,2025-01-04,Offer Accepted,3,77.7,36.6,2025-03-07,2025-05-17
APP000186,STU00070,CMP0095,2024-08-16,Interviewed,2,41.0,,,
APP000187,STU00070,CMP0123,2025-01-12,Offer Declined,3,61.8,,,
APP000188,STU00070,CMP0047,2025-05-22,Rejected,0,,,,
APP000189,STU00070,CMP0147,2024-11-09,Interviewed,4,99.0,,,
APP000190,STU00071,CMP0022,2024-12-22,Applied,0,,,,
APP000191,STU00071,CMP0137,2024-12-07,Selected,3,83.6,37.0,2025-02-12,
APP000192,STU00071,CMP0136,2025-05-01,Offer Accepted,4,99.4,16.4,2025-06-03,2025-09-14
APP000193,STU00071,CMP0028,2024-11-10,Selected,0,66.6,33.1,2024-12-18,
APP000194,STU00071,CMP0066,2024-08-01,Selected,2,55.1,8.0,2024-09-01,
APP000195,STU00072,CMP0072,2024-10-01,Interview Scheduled,0,,,,
APP000196,STU00073,CMP0059,2024-10-18,Selected,3,55.7,29.4,2024-12-31,
APP000197,STU00073,CMP0129,2025-01-05,Interviewed,4,61.8,,,
APP000198,STU00073,CMP0073,2024-09-04,Interviewed,1,96.6,,,
APP000199,STU00074,CMP0045,2025-01-10,Interview Scheduled,0,,,,
APP000200,STU00074,CMP0059,2024-08-13,Interview Scheduled,2,,,,
APP000201,STU00075,CMP0029,2025-04-18,Shortlisted,0,,,,
APP000202,STU00075,CMP0014,2024-09-28,Shortlisted,0,,,,
APP000203,STU00075,CMP0111,2024-12-10,Rejected,0,,,,
APP000204,STU00076,CMP0093,2025-04-17,Selected,3,81.3,13.8,2025-06-27,
APP000205,STU00077,CMP0035,2024-10-25,Interview Scheduled,0,,,,
APP000206,STU00077,CMP0042,2025-05-05,Shortlisted,4,,,,
APP000207,STU00078,CMP0042,2024-10-11,Shortlisted,4,,,,
APP000208,STU00078,CMP0102,2024-10-09,Rejected,0,,,,
APP000209,STU00079,CMP0033,2025-05-16,Shortlisted,1,,,,
APP000210,STU00079,CMP0097,2025-05-25,Rejected,0,,,,
APP000211,STU00079,CMP0031,2025-02-24,Interviewed,0,55.1,,,
APP000212,STU00080,CMP0029,2024-11-17,Selected,0,87.6,3.4,2025-01-18,
APP000213,STU00081,CMP0070,2024-12-12,Interview Scheduled,0,,,,
APP000214,STU00081,CMP0150,2024-11-17,Rejected,0,,,,
APP000215,STU00081,CMP0090,2024-09-27,Interviewed,4,70.6,,,
APP000216,STU00081,CMP0038,2024-11-17,Rejected,0,,,,
APP000217,STU00082,CMP0081,2024-12-24,Interviewed,4,57.9,,,
APP000218,STU00082,CMP0127,2025-03-21,Selected,4,49.3,28.9,2025-06-01,
APP000219,STU00083,CMP0019,2024-12-11,Interviewed,3,62.9,,,
APP000220,STU00083,CMP0022,2024-11-19,Selected,1,66.1,11.3,2025-02-02,
APP000221,STU00083,CMP0104,2025-04-20,Rejected,0,,,,
APP000222,STU00083,CMP0021,2025-03-14,Selected,4,89.3,34.9,2025-05-12,
APP000223,STU00084,CMP0039,2025-01-03,Interviewed,4,90.6,,,
APP000224,STU00084,CMP0075,2025-03-09,Shortlisted,1,,,,
APP000225,STU00085,CMP0110,2024-12-29,Selected,2,50.4,4.1,2025-02-19,
APP000226,STU00085,CMP0058,2024-09-27,Offer Declined,3,99.2,,,
APP000227,STU00085,CMP0088,2024-11-11,Shortlisted,0,,,,
APP000228,STU00085,CMP0113,2024-10-31,Rejected,0,,,,
APP000229,STU00085,CMP0083,2025-01-05,Shortlisted,3,,,,
APP000230,STU00085,CMP0076,2024-11-30,Shortlisted,4,,,,
APP000231,STU00087,CMP0116,2025-01-14,Applied,0,,,,
APP000232,STU00088,CMP0072,2024-12-30,Shortlisted,0,,,,
APP000233,STU00088,CMP0003,2024-10-28,Offer Accepted,2,53.4,39.8,2025-01-18,2025-03-09
APP000234,STU00089,CMP0041,2024-08-08,Selected,2,78.9,17.2,2024-10-29,
APP000235,STU00089,CMP0008,2025-03-12,Rejected,0,,,,
APP000236,STU00089,CMP0122,2024-12-04,Shortlisted,3,,,,
APP000237,STU00090,CMP0107,2025-04-25,Selected,2,47.9,22.9,2025-07-07,
APP000238,STU00090,CMP0050,2025-01-09,Offer Declined,4,40.4,,,
APP000239,STU00090,CMP0079,2024-09-18,Selected,1,41.5,11.4,2024-12-15,
APP000240,STU00091,CMP0124,2025-02-20,Rejected,0,,,,
APP000241,STU00092,CMP0095,2024-10-20,Interview Scheduled,0,,,,
APP000242,STU00092,CMP0146,2025-04-01,Rejected,0,,,,
APP000243,STU00092,CMP0104,2025-05-10,Offer Accepted,0,40.7,21.5,2025-08-03,2025-08-15
APP000244,STU00093,CMP0145,2024-12-04,Selected,0,62.7,32.7,2025-01-10,
APP000245,STU00093,CMP0055,2024-08-12,Interviewed,1,84.8,,,
APP000246,STU00094,CMP0048,2025-04-20,Rejected,0,,,,
APP000247,STU00094,CMP0015,2024-12-20,Rejected,0,,,,
APP000248,STU00097,CMP0035,2024-08-24,Shortlisted,4,,,,
APP000249,STU00097,CMP0090,2025-01-21,Selected,4,53.0,26.4,2025-04-05,
APP000250,STU00097,CMP0004,2025-04-19,Applied,0,,,,
APP000251,STU00098,CMP0131,2024-09-16,Rejected,0,,,,
APP000252,STU00098,CMP0038,2024-11-06,Shortlisted,4,,,,
APP000253,STU00099,CMP0070,2025-04-05,Rejected,0,,,,
APP000254,STU00099,CMP0024,2024-12-18,Shortlisted,1,,,,
APP000255,STU00099,CMP0031,2024-11-08,Offer Declined,1,87.8,,,
APP000256,STU00099,CMP0132,2025-03-10,Interviewed,0,51.4,,,
APP000257,STU00100,CMP0030,2025-03-23,Rejected,0,,,,
APP000258,STU00100,CMP0093,2025-05-07,Selected,4,60.5,15.7,2025-07-01,
APP000259,STU00100,CMP0098,2024-10-03,Shortlisted,3,,,,
APP000260,STU00100,CMP0090,2024-11-23,Shortlisted,0,,,,
APP000261,STU00100,CMP0078,2024-12-15,Offer Accepted,0,78.9,28.8,2025-02-11,2025-04-13
APP000262,STU00100,CMP0020,2024-08-28,Selected,2,62.1,37.1,2024-10-26,
APP000263,STU00101,CMP0072,2024-12-06,Rejected,0,,,,
APP000264,STU00101,CMP0025,2025-05-17,Interviewed,0,91.3,,,
APP000265,STU00101,CMP0033,2025-01-11,Interview Scheduled,1,,,,
APP000266,STU00101,CMP0143,2025-04-01,Offer Accepted,0,97.2,21.3,2025-06-27,2025-08-31
APP000267,STU00101,CMP0110,2024-09-20,Offer Declined,3,80.0,,,
APP000268,STU00101,CMP0006,2025-04-09,Selected,1,72.4,19.8,2025-07-08,
APP000269,STU00102,CMP0100,2024-08-25,Interview Scheduled,1,,,,
APP000270,STU00103,CMP0044,2025-02-08,Offer Accepted,2,70.8,30.6,2025-03-24,2025-07-03
APP000271,STU00104,CMP0082,2025-05-09,Interviewed,1,97.7,,,
APP000272,STU00104,CMP0059,2025-01-16,Rejected,0,,,,
APP000273,STU00104,CMP0097,2024-10-15,Shortlisted,0,,,,
APP000274,STU00105,CMP0146,2024-11-18,Shortlisted,4,,,,
APP000275,STU00105,CMP0090,2024-11-28,Rejected,0,,,,
APP000276,STU00106,CMP0087,2025-01-19,Rejected,0,,,,
APP000277,STU00106,CMP0021,2025-04-05,Applied,0,,,,
APP000278,STU00106,CMP0009,2025-05-18,Offer Declined,3,87.2,,,
APP000279,STU00106,CMP0092,2024-09-21,Shortlisted,0,,,,
APP000280,STU00106,CMP0024,2025-05-24,Rejected,0,,,,
APP000281,STU00106,CMP0140,2025-04-16,Shortlisted,3,,,,
APP000282,STU00108,CMP0144,2024-08-26,Applied,0,,,,
APP000283,STU00108,CMP0086,2025-05-08,Shortlisted,4,,,,
APP000284,STU00108,CMP0013,2024-11-22,Shortlisted,1,,,,
APP000285,STU00109,CMP0060,2024-11-25,Applied,0,,,,
APP000286,STU00109,CMP0103,2025-05-16,Interviewed,3,91.7,,,
APP000287,STU00109,CMP0006,2025-02-22,Offer Declined,4,89.4,,,
APP000288,STU00109,CMP0145,2025-04-15,Interviewed,0,95.5,,,
APP000289,STU00109,CMP0102,2024-12-25,Selected,2,87.5,18.9,2025-02-17,
APP000290,STU00110,CMP0149,2024-09-10,Shortlisted,4,,,,
APP000291,STU00110,CMP0029,2025-03-15,Rejected,0,,,,
APP000292,STU00110,CMP0013,2025-04-16,Selected,0,56.2,34.7,2025-05-16,
APP000293,STU00112,CMP0021,2025-04-06,Shortlisted,1,,,,
APP000294,STU00112,CMP0065,2024-08-28,Offer Accepted,2,91.2,24.4,2024-11-02,2025-01-27
APP000295,STU00112,CMP0044,2024-08-18,Selected,2,59.4,4.7,2024-10-06,
APP000296,STU00112,CMP0056,2024-12-21,Offer Accepted,1,40.2,6.9,2025-01-24,2025-06-09
APP000297,STU00112,CMP0085,2025-04-07,Rejected,0,,,,
APP000298,STU00112,CMP0041,2025-01-24,Applied,0,,,,
APP000299,STU00113,CMP0036,2025-01-12,Shortlisted,1,,,,
APP000300,STU00113,CMP0019,2024-12-29,Interviewed,1,84.7,,,
APP000301,STU00113,CMP0015,2024-11-16,Interviewed,3,60.9,,,
APP000302,STU00113,CMP0122,2024-09-19,Selected,1,78.1,9.6,2024-12-08,
APP000303,STU00113,CMP0081,2024-11-02,Rejected,0,,,,
APP000304,STU00114,CMP0021,2025-01-19,Rejected,0,,,,
APP000305,STU00114,CMP0069,2025-02-21,Rejected,0,,,,
APP000306,STU00115,CMP0076,2025-01-13,Rejected,0,,,,
APP000307,STU00116,CMP0137,2025-05-10,Offer Declined,4,54.5,,,
APP000308,STU00116,CMP0087,2025-03-07,Applied,0,,,,
APP000309,STU00116,CMP0066,2024-10-31,Shortlisted,3,,,,
APP000310,STU00116,CMP0113,2024-10-12,Offer Accepted,2,50.8,7.8,2024-12-13,2025-01-20
APP000311,STU00117,CMP0083,2024-08-11,Rejected,0,,,,
APP000312,STU00118,CMP0108,2024-11-14,Rejected,0,,,,
APP000313,STU00118,CMP0137,2024-09-30,Shortlisted,3,,,,
APP000314,STU00118,CMP0146,2024-12-21,Shortlisted,3,,,,
APP000315,STU00119,CMP0082,2025-01-29,Shortlisted,3,,,,
APP000316,STU00119,CMP0054,2024-09-22,Rejected,0,,,,
APP000317,STU00119,CMP0009,2024-08-12,Interview Scheduled,1,,,,
APP000318,STU00119,CMP0024,2025-02-17,Rejected,0,,,,
APP000319,STU00119,CMP0081,2025-05-20,Interviewed,0,80.3,,,
APP000320,STU00119,CMP0125,2024-12-19,Shortlisted,0,,,,
APP000321,STU00120,CMP0037,2024-12-08,Shortlisted,1,,,,
APP000322,STU00120,CMP0137,2024-08-22,Offer Declined,4,59.8,,,
APP000323,STU00121,CMP0131,2024-12-29,Rejected,0,,,,
APP000324,STU00122,CMP0120,2025-02-25,Selected,3,63.5,8.2,2025-04-11,
APP000325,STU00123,CMP0054,2024-11-01,Interviewed,0,92.8,,,
APP000326,STU00123,CMP0032,2024-12-19,Selected,0,93.6,29.9,2025-02-06,
APP000327,STU00123,CMP0052,2025-01-18,Applied,0,,,,
APP000328,STU00123,CMP0041,2025-03-11,Interviewed,1,84.8,,,
APP000329,STU00124,CMP0039,2025-03-04,Shortlisted,4,,,,
APP000330,STU00124,CMP0018,2024-12-21,Shortlisted,4,,,,
APP000331,STU00124,CMP0104,2024-09-14,Rejected,0,,,,
APP000332,STU00125,CMP0080,2025-04-15,Selected,1,43.4,34.2,2025-06-21,
APP000333,STU00125,CMP0102,2024-10-16,Rejected,0,,,,
APP000334,STU00125,CMP0065,2025-04-13,Offer Declined,2,68.3,,,
APP000335,STU00126,CMP0099,2024-11-12,Selected,3,44.8,14.8,2025-01-29,
APP000336,STU00126,CMP0071,2025-04-07,Shortlisted,3,,,,
APP000337,STU00127,CMP0029,2024-12-21,Interviewed,4,46.3,,,
APP000338,STU00128,CMP0105,2024-10-14,Shortlisted,0,,,,
APP000339,STU00128,CMP0118,2024-11-01,Rejected,0,,,,
APP000340,STU00128,CMP0065,2025-01-26,Interviewed,4,91.0,,,
APP000341,STU00128,CMP0058,2024-12-30,Interviewed,3,59.0,,,
APP000342,STU00129,CMP0027,2025-05-15,Interviewed,2,99.9,,,
APP000343,STU00130,CMP0109,2024-09-25,Applied,0,,,,
APP000344,STU00130,CMP0065,2025-02-05,Interview Scheduled,2,,,,
APP000345,STU00130,CMP0119,2025-02-08,Offer Declined,3,76.9,,,
APP000346,STU00130,CMP0087,2024-12-12,Shortlisted,1,,,,
APP000347,STU00130,CMP0097,2024-11-02,Selected,1,56.5,28.9,2024-12-12,
APP000348,STU00131,CMP0113,2025-03-05,Selected,1,99.6,12.2,2025-04-24,
APP000349,STU00132,CMP0071,2024-10-19,Offer Accepted,4,65.1,22.8,2025-01-01,2025-04-01
APP000350,STU00132,CMP0046,2025-04-12,Selected,1,49.8,24.0,2025-06-16,
APP000351,STU00132,CMP0039,2025-02-15,Selected,0,76.6,32.1,2025-04-01,
APP000352,STU00132,CMP0031,2024-12-23,Rejected,0,,,,
APP000353,STU00132,CMP0058,2025-05-07,Interviewed,2,77.2,,,
APP000354,STU00133,CMP0063,2024-09-20,Applied,0,,,,
APP000355,STU00133,CMP0078,2024-08-08,Selected,4,56.9,5.7,2024-10-06,
APP000356,STU00133,CMP0067,2024-09-25,Selected,3,44.5,31.1,2024-12-16,
