customer_id,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment,Cluster
CUST000040,60,5,16284.449999999999,4,1,1,6,New Customers,1
CUST000041,86,4,25793.42,3,1,3,7,Potential Loyalists,1
CUST000042,141,4,24111.65,3,1,2,6,Others,1
CUST000043,91,7,36508.01,3,3,4,10,Loyal Customers,0
CUST000044,25,8,43201.020000000004,5,4,5,14,Champions,0
CUST000045,27,10,62040.06,5,5,5,15,Champions,3
CUST000046,209,8,41396.42,2,4,4,10,At Risk,0
CUST000047,55,6,16444.59,4,2,1,7,New Customers,1
CUST000048,95,7,39645.29,3,3,4,10,Loyal Customers,0
CUST000049,158,6,14897.08,2,2,1,5,Others,1
CUST000050,281,7,25457.6,1,3,3,7,At Risk,0
CUST000051,17,5,33252.380000000005,5,1,4,10,New Customers,0
CUST000052,233,6,19562.730000000003,2,2,2,6,Others,1
CUST000053,447,5,15067.06,1,1,1,3,Lost,2
CUST000054,127,6,27676.27,3,2,3,8,Potential Loyalists,0
CUST000055,414,8,38143.159999999996,1,4,4,9,At Risk,2
CUST000056,102,9,48917.8,3,4,5,12,Loyal Customers,3
CUST000057,180,8,34797.29,2,4,4,10,At Risk,0
CUST000058,303,6,23423.630000000005,1,2,2,5,Lost,2
CUST000059,151,5,17318.33,2,1,1,4,Others,1
CUST000060,133,11,56288.700000000004,3,5,5,13,Loyal Customers,3
CUST000061,273,7,55693.28,1,3,5,9,At Risk,0
CUST000062,98,8,42473.69,3,4,5,12,Loyal Customers,0
CUST000063,24,9,43291.27,5,4,5,14,Champions,3
CUST000064,110,13,51267.3,3,5,5,13,Loyal Customers,3
CUST000065,18,7,22327.91,5,3,2,10,Loyal Customers,0
CUST000066,27,6,19745.25,5,2,2,9,New Customers,1
CUST000067,154,2,9901.58,2,1,1,4,Others,1
CUST000068,444,5,28793.089999999997,1,1,3,5,Cannot Lose Them,2
CUST000069,118,9,39316.63,3,4,4,11,Loyal Customers,0
CUST000070,778,4,11511.2,1,1,1,3,Lost,2
CUST000071,68,4,37318.98,4,1,4,9,New Customers,1
CUST000072,50,9,34136.340000000004,4,4,4,12,Champions,0
CUST000073,188,4,18847.43,2,1,2,5,Others,1
CUST000074,175,8,44031.04,2,4,5,11,At Risk,0
CUST000075,351,7,35537.5,1,3,4,8,At Risk,0
CUST000076,1,11,37279.17,5,5,4,14,Champions,3
CUST000077,108,7,26679.12,3,3,3,9,Loyal Customers,0
CUST000078,137,9,35382.95,3,4,4,11,Loyal Customers,0
CUST000079,361,8,31711.239999999998,1,4,3,8,At Risk,0
CUST000080,13,10,36275.58,5,5,4,14,Champions,0
CUST000081,91,9,34453.05,3,4,4,11,Loyal Customers,0
CUST000082,275,6,32427.77,1,2,3,6,Cannot Lose Them,0
CUST000083,109,5,22037.03,3,1,2,6,Others,1
CUST000084,180,11,57056.98,2,5,5,12,At Risk,3
CUST000085,26,8,34639.21,5,4,4,13,Champions,0
CUST000086,32,11,69863.85,5,5,5,15,Champions,3
CUST000087,3,7,32764.88,5,3,3,11,Loyal Customers,0
CUST000088,92,7,24353.039999999997,3,3,2,8,Loyal Customers,0
CUST000089,27,11,60142.47,5,5,5,15,Champions,3
CUST000090,436,6,22883.16,1,2,2,5,Lost,2
CUST000091,119,6,31959.870000000003,3,2,3,8,Potential Loyalists,0
CUST000092,121,9,61040.6,3,4,5,12,Loyal Customers,3
CUST000093,218,9,42874.38,2,4,5,11,At Risk,0
CUST000094,176,6,27787.96,2,2,3,7,Cannot Lose Them,0
CUST000095,49,7,37423.869999999995,4,3,4,11,Loyal Customers,0
CUST000096,694,5,20449.34,1,1,2,4,Lost,2
CUST000097,1,6,37977.409999999996,5,2,4,11,New Customers,0
CUST000098,103,4,19152.030000000002,3,1,2,6,Others,1
CUST000099,108,8,40954.72,3,4,4,11,Loyal Customers,0
CUST000100,285,7,29761.79,1,3,3,7,At Risk,0
CUST000101,29,9,38474.08,5,4,4,13,Champions,0
CUST000102,291,6,26992.48,1,2,3,6,Cannot Lose Them,1
CUST000103,8,7,34987.21,5,3,4,12,Loyal Customers,0
CUST000104,570,5,30151.76,1,1,3,5,Cannot Lose Them,2
CUST000105,69,6,24960.14,4,2,2,8,New Customers,1
CUST000106,259,10,57134.65,2,5,5,12,At Risk,3
CUST000107,180,7,43357.58,2,3,5,10,At Risk,0
CUST000108,265,6,36439.68,1,2,4,7,Cannot Lose Them,0
CUST000109,212,5,17130.2,2,1,1,4,Others,1
CUST000110,9,5,20482.72,5,1,2,8,New Customers,1
CUST000111,76,8,39090.29,4,4,4,12,Champions,0
CUST000112,14,4,7235.1900000000005,5,1,1,7,New Customers,1
CUST000113,50,13,63584.47,4,5,5,14,Champions,3
CUST000114,372,3,22841.17,1,1,2,4,Lost,2
CUST000115,184,5,22211.589999999997,2,1,2,5,Others,1
CUST000116,95,11,43453.24,3,5,5,13,Loyal Customers,3
CUST000117,553,4,5215.1,1,1,1,3,Lost,2
CUST000118,192,6,28387.11,2,2,3,7,Cannot Lose Them,0
CUST000119,163,7,40867.3,2,3,4,9,At Risk,0
CUST000120,639,2,13040.9,1,1,1,3,Lost,2
CUST000121,280,4,17467.2,1,1,1,3,Lost,1
CUST000122,133,8,17613.72,3,4,1,8,Loyal Customers,0
CUST000123,22,7,47781.19,5,3,5,13,Loyal Customers,0
CUST000124,40,9,40590.37,4,4,4,12,Champions,0
CUST000125,757,5,17017.800000000003,1,1,1,3,Lost,2
CUST000126,65,9,42761.26,4,4,5,13,Champions,0
CUST000127,43,11,43853.42,4,5,5,14,Champions,3
CUST000128,55,8,30246.9,4,4,3,11,Loyal Customers,0
CUST000129,124,6,35809.06,3,2,4,9,Potential Loyalists,0
CUST000130,34,8,18248.33,5,4,2,11,Loyal Customers,0
CUST000131,536,4,14778.59,1,1,1,3,Lost,2
CUST000132,128,2,12671.59,3,1,1,5,Others,1
CUST000133,64,6,38334.700000000004,4,2,4,10,New Customers,0
CUST000134,2,8,44884.83,5,4,5,14,Champions,0
CUST000135,148,7,33081.79,3,3,4,10,Loyal Customers,0
CUST000136,43,6,20292.2,4,2,2,8,New Customers,1
CUST000137,3,6,49913.76,5,2,5,12,New Customers,0
CUST000138,329,6,33179.79,1,2,4,7,Cannot Lose Them,2
CUST000139,120,3,11798.79,3,1,1,5,Others,1
CUST000140,245,8,42464.39,2,4,5,11,At Risk,0
CUST000141,21,10,50902.65,5,5,5,15,Champions,3
CUST000142,43,6,15905.76,4,2,1,7,New Customers,1
CUST000143,251,6,50512.07,2,2,5,9,Cannot Lose Them,0
CUST000144,428,6,40028.229999999996,1,2,4,7,Cannot Lose Them,2
CUST000145,70,6,31721.149999999998,4,2,3,9,New Customers,0
CUST000146,148,4,13216.76,3,1,1,5,Others,1
CUST000147,387,9,32130.3,1,4,3,8,At Risk,0
CUST000148,27,10,77657.46,5,5,5,15,Champions,3
CUST000149,25,8,42249.68,5,4,4,13,Champions,0
CUST000150,109,9,33187.28,3,4,4,11,Loyal Customers,0
CUST000151,46,5,19367.15,4,1,2,7,New Customers,1
CUST000152,206,8,27551.85,2,4,3,9,At Risk,0
CUST000153,165,6,28483.379999999997,2,2,3,7,Cannot Lose Them,0
CUST000154,177,9,34064.64,2,4,4,10,At Risk,0
CUST000155,302,5,26393.46,1,1,3,5,Cannot Lose Them,2
CUST000156,13,11,42364.34,5,5,5,15,Champions,3
CUST000157,25,7,39068.29,5,3,4,12,Loyal Customers,0
CUST000158,49,7,20450.82,4,3,2,9,Loyal Customers,1
CUST000159,816,4,30146.18,1,1,3,5,Cannot Lose Them,2
CUST000160,110,10,55161.130000000005,3,5,5,13,Loyal Customers,3
CUST000161,34,9,44016.21,5,4,5,14,Champions,3
CUST000162,220,3,8178.75,2,1,1,4,Others,1
CUST000163,110,6,36642.0,3,2,4,9,Potential Loyalists,0
CUST000164,26,6,16812.52,5,2,1,8,New Customers,1
CUST000165,65,9,32639.57,4,4,3,11,Loyal Customers,0
CUST000166,136,7,34977.08,3,3,4,10,Loyal Customers,0
CUST000167,210,7,23141.8,2,3,2,7,At Risk,0
CUST000168,27,12,66706.73,5,5,5,15,Champions,3
CUST000169,119,9,45380.28,3,4,5,12,Loyal Customers,3
CUST000170,134,7,39176.68,3,3,4,10,Loyal Customers,0
CUST000171,155,8,37513.78,2,4,4,10,At Risk,0
CUST000172,392,3,8820.76,1,1,1,3,Lost,2
CUST000173,31,7,25187.82,5,3,2,10,Loyal Customers,0
CUST000174,48,9,41084.2,4,4,4,12,Champions,0
CUST000175,1,4,7600.29,5,1,1,7,New Customers,1
CUST000176,4,5,16538.42,5,1,1,7,New Customers,1
CUST000177,223,7,30731.91,2,3,3,8,At Risk,0
CUST000178,174,5,26612.36,2,1,3,6,Cannot Lose Them,1
CUST000179,10,6,29198.69,5,2,3,10,New Customers,0
CUST000180,143,8,41440.399999999994,3,4,4,11,Loyal Customers,0
CUST000181,26,6,32544.129999999997,5,2,3,10,New Customers,0
CUST000182,141,3,10365.77,3,1,1,5,Others,1
CUST000183,219,7,24315.92,2,3,2,7,At Risk,0
CUST000184,36,8,30738.19,5,4,3,12,Loyal Customers,0
CUST000185,89,6,29298.15,3,2,3,8,Potential Loyalists,0
CUST000186,69,5,26848.239999999998,4,1,3,8,New Customers,1
CUST000187,366,5,19973.41,1,1,2,4,Lost,2
CUST000188,225,6,16304.64,2,2,1,5,Others,1
CUST000189,120,5,27823.7,3,1,3,7,Potential Loyalists,1
CUST000190,180,9,35355.63,2,4,4,10,At Risk,0
CUST000191,69,7,45736.12,4,3,5,12,Loyal Customers,0
CUST000192,131,7,36153.13,3,3,4,10,Loyal Customers,0
CUST000193,141,6,23743.75,3,2,2,7,Others,1
CUST000194,51,7,27803.95,4,3,3,10,Loyal Customers,0
CUST000195,221,5,32562.9,2,1,3,6,Cannot Lose Them,1
CUST000196,140,5,30790.79,3,1,3,7,Potential Loyalists,1
CUST000197,141,2,10306.67,3,1,1,5,Others,1
CUST000198,6,11,42886.92,5,5,5,15,Champions,3
CUST000199,83,12,50051.15,4,5,5,14,Champions,3
CUST000200,187,7,34180.78,2,3,4,9,At Risk,0
CUST000201,25,5,27843.46,5,1,3,9,New Customers,1
CUST000202,546,4,8492.19,1,1,1,3,Lost,2
CUST000203,737,4,10403.31,1,1,1,3,Lost,2
CUST000204,704,3,13204.490000000002,1,1,1,3,Lost,2
CUST000205,24,8,26529.97,5,4,3,12,Loyal Customers,0
CUST000206,78,6,35483.8,4,2,4,10,New Customers,0
CUST000207,9,7,38516.84,5,3,4,12,Loyal Customers,0
CUST000208,56,5,27472.590000000004,4,1,3,8,New Customers,1
CUST000209,26,7,39201.48,5,3,4,12,Loyal Customers,0
CUST000210,17,11,47798.64,5,5,5,15,Champions,3
CUST000211,233,6,22497.59,2,2,2,6,Others,1
CUST000212,375,4,17371.71,1,1,1,3,Lost,2
CUST000213,308,11,63904.65,1,5,5,11,At Risk,3
CUST000214,25,4,11053.42,5,1,1,7,New Customers,1
CUST000215,45,5,16189.75,4,1,1,6,New Customers,1
CUST000216,130,10,41925.42,3,5,4,12,Loyal Customers,3
CUST000217,56,7,34453.67,4,3,4,11,Loyal Customers,0
CUST000218,356,8,34492.57,1,4,4,9,At Risk,0
CUST000219,253,5,17502.33,2,1,1,4,Others,1
CUST000220,64,7,31501.04,4,3,3,10,Loyal Customers,0
CUST000221,86,4,20893.67,3,1,2,6,Others,1
CUST000222,69,6,35419.13,4,2,4,10,New Customers,0
CUST000223,70,8,18592.14,4,4,2,10,Loyal Customers,0
CUST000224,137,5,19512.85,3,1,2,6,Others,1
CUST000225,216,9,49411.61,2,4,5,11,At Risk,3
CUST000226,671,2,2305.0299999999997,1,1,1,3,Lost,2
CUST000227,51,5,29043.08,4,1,3,8,New Customers,1
CUST000228,127,9,51930.32,3,4,5,12,Loyal Customers,3
CUST000229,123,8,29061.48,3,4,3,10,Loyal Customers,0
CUST000230,356,5,18073.89,1,1,2,4,Lost,2
CUST000231,128,14,74999.67,3,5,5,13,Loyal Customers,3
CUST000232,321,7,28675.39,1,3,3,7,At Risk,0
CUST000233,93,4,11747.3,3,1,1,5,Others,1
CUST000234,199,8,34848.16,2,4,4,10,At Risk,0
CUST000235,70,5,28476.19,4,1,3,8,New Customers,1
CUST000236,169,8,25813.95,2,4,3,9,At Risk,0
CUST000237,506,1,4325.23,1,1,1,3,Lost,2
CUST000238,64,5,14997.15,4,1,1,6,New Customers,1
CUST000239,164,9,21714.09,2,4,2,8,At Risk,0
CUST000240,109,4,20408.57,3,1,2,6,Others,1
CUST000241,49,7,25504.34,4,3,3,10,Loyal Customers,0
CUST000242,254,7,42806.380000000005,2,3,5,10,At Risk,0
CUST000243,252,3,6938.84,2,1,1,4,Others,1
CUST000244,88,7,39019.44,3,3,4,10,Loyal Customers,0
CUST000245,8,8,39292.23,5,4,4,13,Champions,0
CUST000246,31,10,46707.21,5,5,5,15,Champions,3
CUST000247,264,5,23142.83,1,1,2,4,Lost,1
CUST000248,229,10,40869.01,2,5,4,11,At Risk,3
CUST000249,2,2,4640.72,5,1,1,7,New Customers,1
CUST000250,42,8,29856.399999999998,4,4,3,11,Loyal Customers,0
CUST000251,44,9,34297.04,4,4,4,12,Champions,0
CUST000252,15,10,42030.6,5,5,4,14,Champions,3
CUST000253,17,6,24286.43,5,2,2,9,New Customers,1
CUST000254,108,5,30017.96,3,1,3,7,Potential Loyalists,1
CUST000255,35,5,24759.129999999997,5,1,2,8,New Customers,1
CUST000256,129,12,47375.99,3,5,5,13,Loyal Customers,3
CUST000257,94,6,31588.66,3,2,3,8,Potential Loyalists,0
CUST000258,434,5,25247.15,1,1,3,5,Cannot Lose Them,2
CUST000259,523,6,38200.9,1,2,4,7,Cannot Lose Them,2
CUST000260,85,9,41922.840000000004,3,4,4,11,Loyal Customers,0
CUST000261,199,5,13898.99,2,1,1,4,Others,1
CUST000262,97,4,9684.87,3,1,1,5,Others,1
CUST000263,21,8,31429.079999999998,5,4,3,12,Loyal Customers,0
CUST000264,68,9,25641.07,4,4,3,11,Loyal Customers,0
CUST000265,447,5,13599.010000000002,1,1,1,3,Lost,2
CUST000266,169,6,24466.0,2,2,2,6,Others,1
CUST000267,439,4,25298.260000000002,1,1,3,5,Cannot Lose Them,2
CUST000268,3,11,51581.369999999995,5,5,5,15,Champions,3
CUST000269,242,9,42267.34,2,4,4,10,At Risk,0
CUST000270,179,5,30280.14,2,1,3,6,Cannot Lose Them,1
CUST000271,525,4,16970.56,1,1,1,3,Lost,2
CUST000272,68,6,20291.55,4,2,2,8,New Customers,1
CUST000273,265,8,28496.81,1,4,3,8,At Risk,0
CUST000274,395,11,70006.85,1,5,5,11,At Risk,3
CUST000275,68,11,44077.8,4,5,5,14,Champions,3
CUST000276,166,8,34396.33,2,4,4,10,At Risk,0
CUST000277,74,5,25618.9,4,1,3,8,New Customers,1
CUST000278,22,3,7328.5199999999995,5,1,1,7,New Customers,1
CUST000279,328,3,15532.95,1,1,1,3,Lost,2
CUST000280,134,4,20423.07,3,1,2,6,Others,1
CUST000281,457,5,24574.89,1,1,2,4,Lost,2
CUST000282,36,9,32468.340000000004,5,4,3,12,Loyal Customers,0
CUST000283,1,8,43918.5,5,4,5,14,Champions,0
CUST000284,31,9,55270.46,5,4,5,14,Champions,3
CUST000285,345,8,41839.41,1,4,4,9,At Risk,0
CUST000286,277,9,70055.71,1,4,5,10,At Risk,3
CUST000287,9,3,21645.56,5,1,2,8,New Customers,1
CUST000288,127,5,21095.620000000003,3,1,2,6,Others,1
CUST000289,694,3,16985.24,1,1,1,3,Lost,2
CUST000290,227,8,51295.740000000005,2,4,5,11,At Risk,3
CUST000291,167,6,33166.71,2,2,4,8,Cannot Lose Them,0
CUST000292,353,11,45355.83,1,5,5,11,At Risk,3
CUST000293,3,9,41322.85,5,4,4,13,Champions,0
CUST000294,119,9,27453.53,3,4,3,10,Loyal Customers,0
CUST000295,12,9,35804.86,5,4,4,13,Champions,0
CUST000296,75,10,58330.46,4,5,5,14,Champions,3
CUST000297,254,3,4218.56,2,1,1,4,Others,1
CUST000298,33,6,26133.62,5,2,3,10,New Customers,1
CUST000299,146,3,8649.82,3,1,1,5,Others,1
CUST000300,481,4,13866.5,1,1,1,3,Lost,2
CUST000301,299,4,17660.64,1,1,2,4,Lost,2
CUST000302,52,6,23465.95,4,2,2,8,New Customers,1
CUST000303,554,5,17901.45,1,1,2,4,Lost,2
CUST000304,591,5,21319.89,1,1,2,4,Lost,2
CUST000305,83,3,12186.93,4,1,1,6,New Customers,1
CUST000306,644,5,21217.93,1,1,2,4,Lost,2
CUST000307,40,5,20424.61,4,1,2,7,New Customers,1
CUST000308,36,11,45918.36,5,5,5,15,Champions,3
CUST000309,146,11,48234.08,3,5,5,13,Loyal Customers,3
CUST000310,127,7,33449.56,3,3,4,10,Loyal Customers,0
CUST000311,27,5,36003.84,5,1,4,10,New Customers,0
CUST000312,576,4,5209.45,1,1,1,3,Lost,2
CUST000313,73,3,15266.14,4,1,1,6,New Customers,1
CUST000314,415,5,14722.64,1,1,1,3,Lost,2
CUST000315,204,9,47537.64,2,4,5,11,At Risk,3
CUST000316,470,6,37669.7,1,2,4,7,Cannot Lose Them,2
CUST000317,27,13,70448.9,5,5,5,15,Champions,3
CUST000318,51,9,49694.32,4,4,5,13,Champions,3
CUST000319,11,4,8033.97,5,1,1,7,New Customers,1
CUST000320,245,10,58290.84,2,5,5,12,At Risk,3
CUST000321,627,3,6933.87,1,1,1,3,Lost,2
CUST000322,7,4,11077.539999999999,5,1,1,7,New Customers,1
CUST000323,867,1,2645.38,1,1,1,3,Lost,2
CUST000324,31,9,38507.409999999996,5,4,4,13,Champions,0
CUST000325,34,6,24120.84,5,2,2,9,New Customers,1
CUST000326,50,6,24114.13,4,2,2,8,New Customers,1
CUST000327,9,6,21107.22,5,2,2,9,New Customers,1
CUST000328,303,6,18003.83,1,2,2,5,Lost,2
CUST000329,253,4,19280.579999999998,2,1,2,5,Others,1
CUST000330,654,3,27007.72,1,1,3,5,Cannot Lose Them,2
CUST000331,3,9,28285.09,5,4,3,12,Loyal Customers,0
CUST000332,340,3,19909.68,1,1,2,4,Lost,2
CUST000333,12,8,37112.33,5,4,4,13,Champions,0
CUST000334,68,6,17011.47,4,2,1,7,New Customers,1
CUST000335,38,8,27050.08,4,4,3,11,Loyal Customers,0
CUST000336,2,11,38710.2,5,5,4,14,Champions,3
CUST000337,142,8,54031.63,3,4,5,12,Loyal Customers,3
CUST000338,366,7,41494.33,1,3,4,8,At Risk,0
CUST000339,61,6,39628.08,4,2,4,10,New Customers,0
CUST000340,420,4,24266.48,1,1,2,4,Lost,2
CUST000341,383,4,18555.760000000002,1,1,2,4,Lost,2
CUST000342,154,8,30680.34,2,4,3,9,At Risk,0
CUST000343,44,9,30942.53,4,4,3,11,Loyal Customers,0
CUST000344,56,7,28824.96,4,3,3,10,Loyal Customers,0
CUST000345,262,11,53049.37,1,5,5,11,At Risk,3
CUST000346,357,5,14262.96,1,1,1,3,Lost,2
CUST000347,30,7,36912.14,5,3,4,12,Loyal Customers,0
CUST000348,595,5,20364.34,1,1,2,4,Lost,2
CUST000349,88,6,25987.73,3,2,3,8,Potential Loyalists,1
CUST000350,9,5,20512.04,5,1,2,8,New Customers,1
CUST000351,446,5,16333.4,1,1,1,3,Lost,2
CUST000352,53,8,37243.82,4,4,4,12,Champions,0
CUST000353,64,7,30244.559999999998,4,3,3,10,Loyal Customers,0
CUST000354,46,11,66043.33,4,5,5,14,Champions,3
CUST000355,279,8,55758.24,1,4,5,10,At Risk,3
CUST000356,404,1,14651.45,1,1,1,3,Lost,2
CUST000357,418,10,47617.66,1,5,5,11,At Risk,3
CUST000358,365,6,30094.01,1,2,3,6,Cannot Lose Them,2
CUST000359,519,7,37470.91,1,3,4,8,At Risk,2
CUST000360,201,6,31778.42,2,2,3,7,Cannot Lose Them,0
CUST000361,184,11,49070.09,2,5,5,12,At Risk,3
CUST000362,377,4,18304.48,1,1,2,4,Lost,2
CUST000363,275,6,29651.23,1,2,3,6,Cannot Lose Them,0
CUST000364,70,7,28334.09,4,3,3,10,Loyal Customers,0
CUST000365,50,8,37882.55,4,4,4,12,Champions,0
CUST000366,108,7,40537.95,3,3,4,10,Loyal Customers,0
CUST000367,99,8,32823.05,3,4,3,10,Loyal Customers,0
CUST000368,14,14,64781.25,5,5,5,15,Champions,3
CUST000369,139,7,25723.489999999998,3,3,3,9,Loyal Customers,0
CUST000370,8,10,50973.630000000005,5,5,5,15,Champions,3
CUST000371,48,7,35755.02,4,3,4,11,Loyal Customers,0
CUST000372,65,8,45070.75,4,4,5,13,Champions,0
CUST000373,256,7,18579.52,2,3,2,7,At Risk,1
CUST000374,14,2,13489.27,5,1,1,7,New Customers,1
CUST000375,11,10,43344.55,5,5,5,15,Champions,3
CUST000376,345,7,30616.39,1,3,3,7,At Risk,2
CUST000377,2,7,33990.54,5,3,4,12,Loyal Customers,0
CUST000378,176,8,42090.07,2,4,4,10,At Risk,0
CUST000379,172,8,37912.82,2,4,4,10,At Risk,0
CUST000380,216,8,29678.170000000002,2,4,3,9,At Risk,0
CUST000381,114,6,52070.43,3,2,5,10,Potential Loyalists,0
CUST000382,121,5,29794.64,3,1,3,7,Potential Loyalists,1
CUST000383,186,5,8704.35,2,1,1,4,Others,1
CUST000384,223,5,19410.84,2,1,2,5,Others,1
CUST000385,196,7,41335.55,2,3,4,9,At Risk,0
CUST000386,63,10,60581.59,4,5,5,14,Champions,3
CUST000387,209,7,31556.75,2,3,3,8,At Risk,0
CUST000388,151,10,38133.98,2,5,4,11,At Risk,0
CUST000389,358,6,34159.14,1,2,4,7,Cannot Lose Them,2
CUST000390,68,6,20261.989999999998,4,2,2,8,New Customers,1
CUST000391,15,8,20933.36,5,4,2,11,Loyal Customers,0
CUST000392,127,9,35730.45,3,4,4,11,Loyal Customers,0
CUST000393,177,9,34818.67,2,4,4,10,At Risk,0
CUST000394,159,8,53826.98,2,4,5,11,At Risk,3
CUST000395,93,4,12110.51,3,1,1,5,Others,1
CUST000396,120,8,40554.15,3,4,4,11,Loyal Customers,0
CUST000397,29,3,17530.62,5,1,1,7,New Customers,1
CUST000398,82,13,64545.12,4,5,5,14,Champions,3
CUST000399,315,7,39495.36,1,3,4,8,At Risk,0
CUST000400,26,5,17315.76,5,1,1,7,New Customers,1
CUST000401,172,8,43680.44,2,4,5,11,At Risk,0
CUST000402,103,3,14277.22,3,1,1,5,Others,1
CUST000403,89,13,75012.89,3,5,5,13,Loyal Customers,3
CUST000404,443,4,23846.93,1,1,2,4,Lost,2
CUST000405,94,10,52191.68,3,5,5,13,Loyal Customers,3
CUST000406,217,4,27856.39,2,1,3,6,Cannot Lose Them,1
CUST000407,48,2,3963.4,4,1,1,6,New Customers,1
CUST000408,55,13,76438.98,4,5,5,14,Champions,3
CUST000409,192,9,22454.08,2,4,2,8,At Risk,0
CUST000410,9,10,44707.11,5,5,5,15,Champions,3
CUST000411,170,7,18717.1,2,3,2,7,At Risk,1
CUST000412,385,5,14837.310000000001,1,1,1,3,Lost,2
CUST000413,332,11,45062.24,1,5,5,11,At Risk,3
CUST000414,201,5,32584.72,2,1,3,6,Cannot Lose Them,1
CUST000415,109,9,41209.29,3,4,4,11,Loyal Customers,0
CUST000416,159,3,12971.54,2,1,1,4,Others,1
CUST000417,31,7,28097.42,5,3,3,11,Loyal Customers,0
CUST000418,48,3,13938.83,4,1,1,6,New Customers,1
CUST000419,258,5,16589.34,2,1,1,4,Others,1
CUST000420,9,8,37341.77,5,4,4,13,Champions,0
CUST000421,141,6,23743.77,3,2,2,7,Others,1
CUST000422,147,4,23085.6,3,1,2,6,Others,1
CUST000423,86,10,40360.47,3,5,4,12,Loyal Customers,3
CUST000424,70,7,21675.15,4,3,2,9,Loyal Customers,0
CUST000425,220,4,11373.57,2,1,1,4,Others,1
CUST000426,713,4,8939.34,1,1,1,3,Lost,2
CUST000427,132,6,18604.83,3,2,2,7,Others,1
CUST000428,46,6,39636.34,4,2,4,10,New Customers,0
CUST000429,37,9,40303.71,4,4,4,12,Champions,0
CUST000430,521,4,14957.150000000001,1,1,1,3,Lost,2
CUST000431,60,4,29297.81,4,1,3,8,New Customers,1
CUST000432,10,9,45037.09,5,4,5,14,Champions,3
CUST000433,312,5,15435.37,1,1,1,3,Lost,2
CUST000434,258,7,27132.91,2,3,3,8,At Risk,0
CUST000435,10,6,17117.16,5,2,1,8,New Customers,1
CUST000436,7,10,47155.0,5,5,5,15,Champions,3
CUST000437,40,11,60499.05,4,5,5,14,Champions,3
CUST000438,132,11,21898.79,3,5,2,10,Loyal Customers,0
CUST000439,53,4,24789.67,4,1,2,7,New Customers,1
CUST000440,27,9,39503.57,5,4,4,13,Champions,0
CUST000441,59,11,41857.340000000004,4,5,4,13,Champions,3
CUST000442,79,11,49938.21,4,5,5,14,Champions,3
CUST000443,106,6,16048.72,3,2,1,6,Others,1
CUST000444,192,8,51698.92,2,4,5,11,At Risk,3
CUST000445,206,5,15704.02,2,1,1,4,Others,1
CUST000446,25,6,17705.04,5,2,2,9,New Customers,1
CUST000447,300,4,33272.3,1,1,4,6,Cannot Lose Them,2
CUST000448,19,8,41759.83,5,4,4,13,Champions,0
